project_name,link,description,composants
QAV ZMR 250 Mini Quadcopter Drone Build Guide,https://www.instructables.com/QAV-ZMR-250-Mini-Quadcopter-Drone-Build-Guide,"This was originally published ondronetrest.com, and covers the build theZMR250 mini FPV quadcopter. This kit is a very useful and affordable kit as it includes all the basic components you need to complete your first build. To get this quad in the air, you will need to add a suitable battery, a radio control and a radio receiver that is compatible with that controller. For this kit, we recommend the Tattu 1300mah 45C LiPo battery pack and the RadioLink T4EU radio control with R7EH receiver. Kit used in this build ZMR 250 DIY Quadcopter Kit Tattu 1300mah 3S 45C LiPo battery pack RadioLink T4EU 4 channel radio control with R7EH receiver DroneBuildr Tool kit Soldering Iron Some bits and bobs (e.g.electrical tape) Accompanying Video If you would prefer to see thisZMR250 beginners guide in video form","Ok, let's get down to it. A good place to start is with the motors and electronic speed controllers (ESCs) that you get with this kit. These motors and ESCs now come with bullet connectors and so you can easily connect (and disconnect) them. This may be essential as you must connect the motors cables to the ESC cables in a specific way to ensure theyspin in the correct direction. Tip: If you have lost track of the motor orientation, the way the propeller nut unlocks is the direction the motor should spin in. I.e. the motors in the boxes labeled 'R' should spin clockwise and their propeller nuts unlock by unscrewing them clockwise. It's a good idea to test the motor spin direction after connection. You can do this with the aid of a servo tester and a suitable battery (such as the one recommended for this kit). If you do not have a servo tester, you can just use the radio receiver and radio control. And so there we have it; the motors connected to the ESCs (correctly hopefully)."
Simple 3D Printed Chassis,https://www.instructables.com/Simple-3D-Printed-Chassis,"Background This Instructable is about a simple 3D printed chassis I made as a test base for a robotics platform. I tried to make it have as few non-printed parts as possible, to maximize the number of people who would be able to use it. I printed it all in ABS plastic, and it has held up well--no broken parts yet!. Uses This chassis could be used as a simple RC car, or for some robotics platforms(I built it to test vision processing with a Raspberry Pi). Also, with its high speed, this could even be used to race each another robot! Limitations Because I only used a single stage gearbox, this bot is FAST. Once the gears wear in, it can be run smoothly with low voltages, but it does not have much torque to pull weight or to drive slowly. This base is also very short and wide, as the application I designed it for required this. If too much weight is added high up, it can become easy to tip. However, it can right itself easily. In fact, if you placed all controlling electronics next to the motors, and not on top, this robot could flip upside-down and still run just fine.","Printed parts: can be downloaded here or at my Thingiverse page. Print in ABS for best durability. -4x Wheels -2x Gearbox -1x Cross brace -2x Cross support -2x Pinion gear Non-printed parts: can be obtained from McMaster-Carr, or other hardware supplier -2x RS-550 motors, or motors with same shaft/ mounting setup(bought from BaneBots, not McMaster-Carr) -8x bushing, 1/4"" ID, 3/8"" OD, with lip -4x 1/4"" rod, cut roughly 1.5"" each -11x M4x10mm bolts -4x M3x5 bolts -4x rubber wristbands Tools -File or dremel tool -M2.5 and M3 hex keys -M4 tap -Metal saw, to cut 1/4"" shaft if not already cut"
Candy Lover-- the Grim Reaper,https://www.instructables.com/Candy-Lover-the-Grim-Reaper,"Now welcome our protagonist of this article, candy lover-- the Grim Reaper! More tutorials please visithttp://openlab.makeblock.com/ Our community:http://www.makeblock.com/",List: (all materials are fromMakeblock) Purchase Makeblock parts·check now · ·1 xBeam0824-032-Blue(4-Pack) · ·1 xBeam0824-048-Blue(4-Pack) · ·1 xBeam0824-064-Blue(4-Pack) · ·1 xBeam0824-080-Blue(4-Pack) · ·1 xBeam0824-160-Blue(4-Pack) · ·1 xBeam0824-192-Blue(4-Pack) · ·1 xBeam0824-336-Blue(Pair) · ·1 xBeam0808-184-Blue (4-Pack) · ·1 xPlate 3*6-Blue(4-Pack) · ·1 xPlate 0324-088-Blue（Pair） · ·7 xPlate 45°-Blue (Pair) · ·1 xBracket 3*6-Blue(4-Pack) · ·2 xDC Motor-37 Bracket-Blue(Pair) · ·1 xBracket P1-Blue (Pair) · ·5 xGear 80T · ·1 xPlastic Gear 8T（4-Pack） · ·1 xD Shaft 4*128mm · ·2 xShaft Connector 4mm V1.0(Pair) · ·2 xShaft Collar 4mm(10-Pack) · ·1 xSocket Cap Screw M4*8-Botton Head (50-Pack) · ·1 xSocket Cap Screw M4*14-Button Head (50-Pack) · ·1 xSocket Cap Screw M4*30-Button Head  (25-Pack) · ·1 xPlastic Spacer4*7*2(100-Pack) · ·1 xM8 Plain Washer (10-Pack) · ·1 xCountersunk Screw M3 x 8（10 in Pack） · ·2 xTrack With Track Axle(40-Pack) · ·1 xPlain Ball Bearing 4*8*3mm（10-Pack） · ·1 xMe Auriga · ·1 xMe Dual Motor Driver V1 · ·2 xMe RJ25 Adapter V2 · ·1 xMe RGB LED V1 · ·2 xDC Motor-25 6V/86RPM · ·1 xDC Motor-25 6V/185RPM · ·4 xMEDS15 Servo Motor · ·3 xMEDS15 Servo Motor Bracket-Blue(Pair)
Motion tracking Michael Meyers,https://www.instructables.com/Motion-Tracking-Michael-Meyers,"In this Instructable, I'll teach you how to make a motion tracking dummy. I hear kids and adults alike screaming and laughing as they pass Micheal on the sidewalk: it has been a great addition this Halloween. I'll include a link to GitHub that has all the code needed to run the dummy as well as links to all the materials I used.","You might as well get the computer vision working before you buy any supplies. This is definitely the toughest step, and my instructions will be for a Windows 10 build environment. If you are on a different build platform, you may need to tweak the code slightly to get things to work. 1. Python Go ahead and get python up and running using the instructions here:https://www.python.org/downloads/ 2. openCV Get opencv up and running following the link here:http://opencv.org/downloads.html 3. Test the Combo Open one of the scripts in /opencv/sources/samples/python2 Make sure that one of the simpler program in there works. If not, work through whatever issues you're having before moving forward 4. Test the Code Grab the stuff in the repo here:https://github.com/ScienceIsNeato/HalloweenTracker Note that while I am a coder for my day job, this isn't SOLID code. I just put stuff in as I needed it and didn't follow OOP standards. That being said, everything should be at least commented well enough to understand what's going on. If you like this project and find yourself breaking things out into classes/functions, feel free to put in a pull request :)"
Use the Raspberry Pi Camera to Detect Faces and Read Emotions in Pictures,https://www.instructables.com/Use-the-Raspberry-Pi-Camera-to-Detect-Faces-and-Re,"Use Google Cloud Vision on theRaspberry Pito take a picture with theRaspberry Pi Cameraand classify it with the Google Cloud Vision API. First, we’ll walk you through setting up the Google Cloud Platform. Next, we will use the Raspberry Pi Camera to take a picture of an object, and then use the Raspberry Pi to upload the picture taken to Google Cloud. Finally, we can analyze the picture in the cloud, and the cloud will try to analyze faces in the picture (tell us everything from emotions on the face to where the face is on the picture). Skynet here we come!  Raspberry Pi Raspbian for Robots SD Card Power Supply Raspberry Pi Camera Google Cloud Account The Google Cloud Account is free for 60 days.  After 60 days, you will be charged based on usage.  You can create an account here with either your Google or Gmail login. Google offers the first 60 days for free. These directions assumeyou’re using Raspbian for Robots on your SD Card.  You canbuy an SD Card with Raspbian for Robots on it, oryou can download it for free and install it using our directions here.  In this picture we’ve asked Google Cloud Vision to analyze the GoPiGo on the left, with the returned text response on the right.  It returns “labels” (the things it sees in the picture) such as “vehicle”, “wheel”, “toy”, “product”, and “model car”.  Pretty good job Google!","The first step is to set up a Google Cloud Account.You can create an account here. You can create an account here with either your Google or Gmail login. Google offers the first 60 days for free.After you’ve created your account, you can set up a project and enable billing.  First,click here to go to the Google Cloud Projects Page. Create a new project.  In our example, we named it “vision1”   You will need to enable billing for your account (you won’t be charged).You can do this by clicking here.  Go to theCloud Platform Console here.  Select the project “vision1” and click the hamburger in the upper left hand corner of the page.Select Billing on the left hand side.  From here, you can enable billing on your Google Cloud account. Finally, we’ll enable the API.Click here to enable the API.  Select the “vision1” account we created.  Click “Continue”.  You should get a message that API is enabled. Now that the account is setup, why not upload an image from your computer and test it here?You can follow this tutorialto try out a few images and see what Google thinks they are!  Use our picture above.  Is it an animal? A reptile?  Google will tell you!"
The mischievious Robots of Halloween！ Part 2,https://www.instructables.com/The-Mischievious-Robots-of-Halloween-Part-2,"Hey everyone. We’ve been busy in our labs preparing the entire clan of our special Halloween series of Robots! The next robot is here for everyone to see! With the last robot we introduced, it had a very interesting story, and it was said that in order welcome in Halloween, there were secret meetings and discussions among those ghosties and ghoulies, and all of demons and monsters, that all of them would go out during the Night of Fright to all houses to demand candy from their owners. This time we have all of the monsters coming out to play! Monsters such as: The Demon Bunny, Angry Stripey, The Cell Phone Robot Demon, and The Grim Reaper. The monsters will continue to knock at the door, but this time will they have success in getting your candy?! More tutorials please visithttp://openlab.makeblock.com/ Our community:http://www.makeblock.com/","In this video, we can see, that The Demon Bunny is actually a cute rabbit. All you have to do is just rub it’s sides and it will be so happy that it will dance and twirl around it’s ears. Angry Stripey is a small dog, and he loves to wag his tail and ask for candy. Even though most of the time his temperament is happy, he can get extremely angry without his candy! The Cell Phone Robot Demon loves to stick around with humans! Wherever you go, it will walk in it’s peculiar way and follow you. The Grim Reaper dresses in a dark and creepy robe, he keeps his robe draped over his hidden arm, which is use to quickly and daftly grab candy whenever he is able to find it… More tutorials please visithttp://openlab.makeblock.com/ Our community:http://www.makeblock.com/ "
How to build a vibrant Walle ?,https://www.instructables.com/How-to-Build-a-Vibrant-Walle-,"The Makeblock Walle uses  Arduino, and other Makeblock modules. It can automatically nod,shack head,wave,and dance ,controlled by IR . For more information, please visit Makeblock website listed below: www.makeblock.comGetting Started This instructable, Makeblock Walle, will show you the step-by-step instructions on how to build a vibrant Wallet byMakeblock. Now let’s enjoy it!","Mechinery listBeam0824-80Beam 0824-112Beam 0824-128Beam 0824-144Beam 0824-160Beam 0808-080Bracket 3x3Bracket 3x6Plate 3x6Bracket U1DC Motor-25 6V/185RPM9g Micro ServoPack Shaft Connector-4mmMG995 Servo HubMG995 Servo HubMG995 Servo BracketTiming Pulley 62TTiming Pulley 90TTrackTrack AxleThreaded Shaft 4x39mmShaft Collar 4mmFlange Bearing 4x8x3mmSocket Cap Screw M4x8-Button HeadSocket Cap Screw M4x14-Button HeadSocket Cap Screw M4x22-Button HeadNut M4 Countersunk Screw M3x8Headless Set Screw M3x5Brass Stud M4*16Plastic Rivet R4060Plastic Rivet R4120Plastic Ring 4x7x2mm Beam0824-80 Beam 0824-112 Beam 0824-128 Beam 0824-144 Beam 0824-160 Beam 0808-080 Bracket 3x3 Bracket 3x6 Plate 3x6 Bracket U1 DC Motor-25 6V/185RPM 9g Micro Servo Pack Shaft Connector-4mm MG995 Servo Hub MG995 Servo Hub MG995 Servo Bracket Timing Pulley 62T Timing Pulley 90T Track Track Axle Threaded Shaft 4x39mm Shaft Collar 4mm Flange Bearing 4x8x3mm Socket Cap Screw M4x8-Button Head Socket Cap Screw M4x14-Button Head Socket Cap Screw M4x22-Button Head Nut M4 Countersunk Screw M3x8 Headless Set Screw M3x5 Brass Stud M4*16 Plastic Rivet R4060 Plastic Rivet R4120 Plastic Ring 4x7x2mm Electronic mudule lisMe BaseboardMeIR ReceiverNew MeIR Remote ControllerMe RGB LEDLED RGB Strip-Addressable, Sealed(0.5M)Me RJ25 AdapterBase Bracket  B Me BaseboardMe Me BaseboardMe IR ReceiverNew Me IR ReceiverNew Me IR Remote Controller IR Remote Controller Me RGB LED Me RGB LED LED RGB Strip-Addressable, Sealed(0.5M) LED RGB Strip-Addressable, Sealed(0.5M) Me RJ25 Adapter Me RJ25 Adapter Base Bracket  B Base Bracket  B buy now"
Two-Axis Pan/Tilt Servo Platform,https://www.instructables.com/Two-Axis-PanTilt-Servo-Platform,"Two-Axis Pan Tilt Servo Platform For Camera/Sensors is a servo based 2 axis pan and tilt mechanism for mounting wireless/ wired camera and sensors on robot assembly. Panning , rolling and tilting is achieved by controlling Servo motors using PWM pulses. Suitable for DIY panning and tilting application in projects. More tutorials please visithttp://www.makeblock.com/ Our community:http://openlab.makeblock.com/",All meterial from Makeblock ·         ·2 xServo Pack(Purchase quantity:2) ·         ·1 x130 DC Motor(Purchase quantity:1) ·         ·1 xMe Orion(Purchase quantity:1) ·         ·1 xMe RJ25 Adapter(Purchase quantity:1) BUY NOW
MakeyMakey Dance Pad & Glove Drone Controller,https://www.instructables.com/MakeyMakey-Dance-Pad-Glove-Drone-Controller,,
Bob,https://www.instructables.com/Bob一款简单有趣的双足小机器人,Bob是一款简单有趣的入门双足小机器人。主要面向希望了解机器人的学生，或者练习C语言编程的学生，以及 希望能够有更多互动的亲子。 自己搭建一个Bob，时间不长，但是了解的东西可不少，比如3D打印技术和三维建模，比如Arduino编程，再比如了解什么是舵机，什么是降压模块，杜邦线等等。除此之外，高阶版本还会了解蓝牙芯片的使用，安卓App的开发，锂电池 以及机器人运动学。 总而言之，Bob是一个非常棒的机器人入门平台，有趣，好玩，当你看到自己制作的Bob通上电，突然可以走路了之后，相信心里满满的都是成就感,图片中的Bob材料清单可以在任何电子商店里非常方便的买到。这是我自己的材料清单。 聚合物电池    x1  7.4v 1450mAh 15x31x51 mm 9g舵机  x4 Arduino Nano Arduino Nano 超声波模块  HC－SR40 超声波模块  HC－SR40 杜邦线  公对公 40P 10cm 杜邦线  公对公 40P 10cm 杜邦线 母对母 40P 10cm 杜邦线 母对母 40P 10cm 迷你面包板 迷你面包板 AMS1117-5v降压模块 AMS1117-5v降压模块 扎带 扎带 钮子开关 钮子开关 除此之外Bob的外壳需要用3D打印机打印出来。 STL模型可以在这一步骤找到。Bob_all.stl文件是我打印时放置位置的全部模型。打印的基本参数如下  机器成型尺寸 200x200x300 切片软件 Simplify3D 3.1.0 分辨率（层高） 0.2 顶部底部层数  5 外壳层数 3 填充率  10%  如果你的机器尺寸较小，可以分别打印如下文件。  foot_v1.2  2个 head_v1.1 1个 base_v1.2 1个 Biped_Brackets 4个 
Craven Box -- Halloween Themed Robots,https://www.instructables.com/Craven-Box-Halloween-Themed-Robots,"At Halloween all monsters roamed around the city. Once found peoples, they would trick or treat for candy and toys. But Craven Box always stayed alone at a corner, and if anyone passed by him, he would be so scared that he could not stop shivering. However people didn’t know Craven Box. When suddenly saw a box shivering, they would give it candy because they thought it was as naughty as other monsters. More tutorials please visithttp://www.makeblock.com/ Our community:http://openlab.makeblock.com/",List: (all materials are fromMakeblock)·Purchase Makeblock parts·check now ·         ·1 xOrion ·         ·1 xMe Ultrasonic Sensor ·         ·1 x9g Micro Servo Pack ·         ·1 x6P6C RJ25 cable-20cm ·         ·1 xMe RJ25 Adapter ·         ·1 xMEDS150 Servo Motor ·         ·1 xMEDS15 Servo Motor B ·         ·1 xBeam0824-016-Blue ·         ·3 xBeam0824-064-Blue ·         ·2 xBeam0824-080-Blue ·         ·1 xBeam0824-128-Blue ·         ·1 xSlide Beam0824-192-Blue ·         ·2 xBeam0412-060-Blue ·         ·2 xBeam0412-092-Blue ·         ·2 xBeam0412-076-Blue ·         ·1 xSlide Plate ·         ·1 xBracket-3x3-Blue
How to Use a Dishwasher,https://www.instructables.com/How-to-Use-a-Dishwasher,"While many homes come with a dishwasher, you may have just moved into a place for the first time that has one. or Mom has taken off the training wheels and you need to learn to clean but wanna fat forward it all It can be intimidating to figure out how to properly use a dishwasher, but it will be a real time-saver.",This is important dish washers vary
Home made Rc Trailer,https://www.instructables.com/Home-Made-Rc-Trailer,Don't Foreget To Watch The First Test Run Video and my sons trailer pull!,1-  motor driver 2- 2- 4 speed worm gearbox 3- 4- useable wheels 4-  steel rod 5- square tubing 6- thin sheet of wood 7- 2- Thread spools 8- threaded rod 9- Nuts and bots 10- welder 11- black paint
Make a Search and Rescue Robot,https://www.instructables.com/Make-a-Search-and-Rescue-Robot,"This is an earthquake rescue robot, a robot hero that can save people's lives in disaster scenes. With the help of the ultrasonic sensor, it can avoid the obstacles in front of it autonomously. Meanwhile, it also got a LED module which can be used to light up the path to look for survivors. By using a passive infrared sensor, it is able to detect people even if the visibility is impaired. As well as these sensors, it is also equipped with a gripper which can dig through rubble or help the survivors to safety. More tutorials please visithttp://www.makeblock.com /Our community:http://openlab.makeblock.com/",all meterial from Makeblock ·         ·1 x Mini Gripper ·         ·1 x Me RGB LED ·         ·1 x Me PIR Motion Sensor ·         ·1 x Me RJ25 Adaptor ·         ·18 x Screw M4x8mm ·         ·18 x Nut 4mm ·         ·1 x Bracket 3x3 ·         ·1 x Plate 0324-056 Blue ·         ·2 x Cuttable Linkage ·         ·3 x RJ25 Cable More tutorials please visithttp://www.makeblock.com/ Our community:http://openlab.makeblock.com/
Rhythmic Wii Remote Presser,https://www.instructables.com/Rhythmic-Wii-Remote-Presser,"If you haven't watched this video:  Then I'd recommend doing that first or else this won't really make sense. Now, these instructions are going to show you exactly how I made the Rhythmic Wii Remote Presser, not necessarily the best way to build it. So feel free to change any part that looks really messy. (I was improvising the entire thing) You'll need a fair variety of LEGO bricks and technics for this to work. I'd look ahead to see what parts exactly you'll need (a list of which I'm not including due to too much variety), but if you don't have an NXT (LEGO robot) then this instructable is of no help to you...unless you want to attach a wheel and spin that (which I would not recommend). Here's a list of basic supplies: -LEGO bricks and technics -LEGO NXT & motor -Wii Remotes (2 of them) -Rubber band -String -Wire","The very first thing I'd do is attach your Wii remotes together with a rubber band about in the middle. This just insures that they'll stay together. Now, just look at the pictures and build what you see (or close). This step is very flexible, so do what you can to keep the remotes in place."
EL Wire Mechanical Donkey (Parade of Lights Float),https://www.instructables.com/EL-Wire-Mechanical-Donkey-Parade-of-Lights-Float,"NOTE: This is an ongoing project that will not be completed until it is ready for use in early December 2016. Thus, not all sections of this ""instructable"" have been written yet. 09/01/2016: Our church decided to create a float for the ""Parade of Lights"" in 2016, in order to inform local residents about our community services and church school. The chosen theme of the float is ""Animals of the Nativity"". (The theme of the parade is ""The Miracle of Christmas"".) The float base is an 8-foot-by-5-foot utility trailer. To the side rails of the trailer, we plan to attach images of various animal faces, made out of electro-luminescent (EL) wire. The centerpiece of the float will be a mechanical donkey, also lit with EL wire. Around the lower perimeter, we plan to hang standard house Christmas lights. On the rear of the trailer, we will attach an informational sign. We will also have a lighted ""star"" attached to the pickup truck that pulls the float, along with signs on the truck. Attached is an image of a ""flyer"" that we used to promote the float plan, in order to invite people to help work on it. Note that graphics used in the flyer came from the web, and may be copyrighted by their respective owners. No infringement intended. Also attached is a drawing based on the idea to use a 20-foot long trailer. This idea was discarded, and we decided to go with the shorter trailer.","Before mentioning the float idea to anyone outside of my own family, I decided to create a cardboard mock-up of the mechanical donkey, just to see whether it even appeared to be feasible to create a more permanent version of it. I used an image of a donkey that I found on the web, and enlarged it on paper, then used the paper image as a template for drawing and cutting out the cardboard pieces. The cardboard pieces were attached together using 4-40 screws, nylon lock nuts, and nylon washers. The mock-up allowed me to move the legs and head, in order to see how the motions could work. I also viewed several web videos in order to get a better handle on how a donkey walks. I did not intend to mimic that behavior in all of its aspects (it is quite complex), but wanted to mimic some of the more basic characteristics of the walk (i.e., to move the legs back and forth, and to move the head up and down). Here are the videos:   "
Motion Detection Halloween Talking Skull,https://www.instructables.com/Motion-Detection-Halloween-Talking-Skull,"In this Instructable I will show you how I made my Motion Sensing Talking Robotic Skull Halloween prop. I made it using a 3D printer, some common electronics components. AMakerClub Hornetand I programmed it using theMakerClub Workbench(you can register with MakerClub for free). The robot looks for any motion, then when it detects motion it runs a program to animate the skull potentially scaring your victims. Perfect for Halloween! Please do share this Instructable with your friends. I want to show everyone how easy it is to create Robots and Animatronics, anyone can do it!",Below is a list of the components you will need to create this project. 1x MakerClub Hornet Microcontroller 2x Tower Pro Micro Servos (SG90) 1x PIR motion sensor component 2x LEDs (Your choice of colour) 2x 100ohm Resisters 4x AA Batteries 4x Female to Female Jumper Wires 4x Male to Female Jumper Wires 2x Male to Male Jumper Wires 1x Battery Holder 4x M3 Nuts and Bolts 1x Small Breadboard 1x PVC Cement Optional (If you don't own a 3D Printer you can use a service such as 3D Hubs: 3D Printer 3D Printer Filament
Candy-Eating Monster,https://www.instructables.com/Candy-Eating-Monster,"Halloween is Here!　 He is a great way to surprise Trick-Or-Treaters, as you rub his head, he starts chomping at any candy in his path! This funny little guy is a must for the porch as Trick-Or-Treaters come to visit on the night of horror! Set a bowl of candy in front of him, and watch all of the kids watch in amazement at this candy-eating monster. Customize your monster by painting or carving your own custom face! Whether cute or scary, it will sure to be a hit with the kids! More tutorials please visithttp://www.makeblock.com/Our community:http://openlab.makeblock.com/ You can know more interesting robot early！！Halloween is coming! Have you prepared enough candy?",·Purchase Makeblock partscheck now ·          3 xRobot Servo Pack - Blue(Purchase quantity:3) ·         ·1 xMe Touch Sensor(Purchase quantity:1) ·         ·2 xMe RJ25 Adapter(Purchase quantity:2) ·         ·1 xBeam0824-128-Blue(4-Pack) (Purchase quantity:1) ·         ·1 xBeam0412-140-Blue(4-Pack) (Purchase quantity:1)
The Dancing Pumpkin Lantern,https://www.instructables.com/The-Dancing-Pumpkin-Lantern,"This Pumpkin is sure to please this Halloween!　Not only does he walk... he dances! Throw candy at him, and he will jump around with glee! A great way to interact with your Trick-Or-Treaters! Other ways to interact with the Pumpkin Lantern is have him change colors, and keep a beat right along with some Halloween music! More tutorials please visithttp://www.makeblock.com/ Our community:http://openlab.makeblock.com/",List: (all materials are fromMakeblock) ·Purchase Makeblock partscheck now ·          1 xOrion(Purchase quantity:1) ·         ·1 xMEDS15 Servo Motor(Purchase quantity:1) ·         ·1 xMe RJ25 AdapterMe(Purchase quantity:1) ·         ·2 xBeam0412-60(Purchase quantity:1) ·         ·2 xBeam0412-76(Purchase quantity:1) ·         ·3 xBeam0824-016-Blue(Purchase quantity:1) ·         ·2 xBeam0824-048-Blue(Purchase quantity:1) ·         ·2 xBeam0824-064-Blue(Purchase quantity:1) ·         ·1 xBeam0824-160-Blue(Purchase quantity:1) ·         ·1 xSlide Plate(Purchase quantity:1) ·         ·1 xBracket 3 x 3(Purchase quantity:1) ·         ·1 xBeam0808-088-Blue(Purchase quantity:1) ·         ·1 xSlide Beam0824-176-Blue(Purchase quantity:1) ·         ·1 xMEDS15 Servo Motor Bracket-Blue(Purchase quantity:1)
SpyBot - Internet-controlled robot with videostreaming,https://www.instructables.com/SpyBot-Internet-Controlled-Robot-With-Videostreami,"DIY mobile robot controlled via web browser on any device, which you can make just in few minutes, using phone camera and CORE2.","Husarion CORE2 (available here) DIY mobile robot chassis 4wd (available here) DIY mobile robot chassis 4wd (available here) Li-Po battery M3x6 screws (8 pcs) M3 long (8mm) distance nut (4 pcs) M3 long (8mm) distance nut (4 pcs) M2.5 countersunk screws (4 pcs) M2.5 countersunk screws (4 pcs) Prepare your screwdriver only, everything else is simply plug&play. Eventually you will need a 3D printer if you want to print a beutiful phone holder, other way you are able to make a phone holder using wooden plate, metal bracket and some screws and nuts."
MINDSTORMS Robot Pumpkin,https://www.instructables.com/MINDSTORMS-Robot-Pumpkin,Thanksgiving Sunday afternoon fun with my LEGO MINDSTORMS and a cute little pumpkin ;)Watch a short video of it on my Instagramhttps://instagram.com/p/BLXAbq4BVue/,"(I like to roast the seeds with olive oil, sea salt and pepper on a baking paper sheet in the oven at 350)...So now that your Pumpkin is carved out and cleaned inside you are ready to put some MINDSTORMS in it and bring it to life.I started with a rover base with 2 long beams going upwards that i passed through the pumpkin to hold it in place. Then from the inside I added the motor to make the arms move and an Ultrasonic sensor to detect objects [and look cool]."
Binder Clip Robot Arm,https://www.instructables.com/Binder-Clip-Robot-Arm,"Hello Everyone! We're back again with another instruction set - this time it's for a robot made simply out of binder clips, paper clips, and rubber bands. The robot has a turning base, 2 arm joints, and a gripper end. You can use your own controller and motors for this robot. In this instructable we're using our WiFinch controller. It comes with an app to control the robot over WiFi using an Android device. You can get the controller here:http://roboteurs.com/products/wifinch-wifi-servo-c... All other parts you may have lying around. Servo motors you can get @http://roboteurs.com/products/mini-metal-gear-serv...","For this robot, we will be using:  4 servo motors 3 servo arms 1 servo arm (X Arm) 3-4 rubber bands 2 paper clips (gripper) 2 binder clips (arm connector) servo controller (Wifinch)  Optional  Android Device USB cord "
How to DIY Ball Launcher,https://www.instructables.com/How-to-DIY-Ball-Launcher,How To DIY Ball Launcher,"First, thanks for your support to theold version.The package is on sale now! A few days ago, I talked withMakeblockabout this ball launcher. They optimized this launcher for better user experience and safety. In return, they send me a set of this launcher. So I decided to rewrite the instructions More tutorials please visithttp://www.makeblock.com/."
Infrared Fighting Tank by makeblock,https://www.instructables.com/Infrared-Fighting-Tank-by-Makeblock,"This project is to make two infrared fighting tanks with Starter Robot Kits, some mechanical parts and electric modules. They are controlled with 2.4G wireless joystick. So, how to make it? Glad to tell you that Makeblock is just about to sell this package ! And you don't need pick all the material one by one anymore!http://openlab.makeblock.com/More tutorials please visit :http://www.makeblock.com/","·Purchase Makeblock parts ·          2 xStarter Robot Kit ·         ·4 xBeam0808-136-Blue ·         ·2 xBeam0808-024-Blue ·         ·2 xBeam0824-032-Blue ·         ·2 xBeam0808-312-Blue ·         ·2 xMe USB Host ·         ·2 xMe RJ25 Adapter ·         ·2 xLED RGB Strip-Addressable, Sealed(0.5M) ·         ·2 xMe RGB LED ·         ·2 xMe Infrared Receiver Decode ·         ·2 xMe 7-Segment Serial Display ·         ·2 x LED - Infrared ·         ·2 x Resistor - 330 Ω ·         ·2 x Dupont Wire Male to Male Cable Line ·         ·2 xRJ25 to Dupont Wire ·         ·8 x6P6C RJ25 cable-20cm ·         ·4 xSocket Cap Screw M4x22-Button Head ·         ·18 xSocket Cap Screw M4x14-Button Head ·         ·12 xNut 4mm ·         ·2 x 2.4G Wireless Joystick buy now"
World's Fastest Drone Plane Hybrid!,https://www.instructables.com/Worlds-Fastest-Drone-Plane-Hybrid,"What Up Duudes!? Well, actually my drone but anyhow today I am going to show you how to build a one of a kind drone for cheap! This type of drone is special as it can take off and fly forward faster than any 4 propeller drone that you have ever seen! It has the capabilities of a Plane and a Quadcopter. It has reliability, efficiency as in forward flight the wings create lift, speed, and lastly range which is very important for someone who need to fly somewhere far and return. Don't forget toVote!!!","According to Wikipedia, A vertical take-off and landing (VTOL) aircraft is one that can hover, take off, and land vertically. This classification includes fixed-wing aircraft as well as helicopters and other aircraft with powered rotors, such ascyclogyros/cyclocopters and tiltrotors.[1] Some VTOL aircraft can operate in other modes as well, such as CTOL (conventional take-off and landing), STOL (short take-off and landing), and/or STOVL (short take-off and vertical landing). Others, such as some helicopters, can only operate by VTOL, due to the aircraft lacking landing gear that can handle horizontal motion. VTOL is a subset of V/STOL (vertical and/or short take-off and landing). Besides the ubiquitous helicopter, there are currently two types of VTOL aircraft in military service: craft using a tiltrotor, such as the Bell Boeing V-22 Osprey, and another using directed jet thrust, such as the Harrier family and new F-35B Lightning II Joint strike Fighter (JSF). Generally speaking, VTOL aircraft capable of STOVL use it wherever possible, since it typically significantly increases takeoff weight, range or payload compared to pure VTOL.[2] This Gives us a better idea of what it should be able to do."
Darth Vader Robot,https://www.instructables.com/Darth-Vader-Robot,In this Instructable Im going to show you how I made my 3D Printed Darth Vader Head robot using the MakerClub Hornet board and development environment. The robots head can move side to side and you can change the intensity of the LED eyes using your phone as a remote via bluetooth.,Before we start you are going to need a few things to make this project. 1x MakerClub hornet board (you can get one here:https://makerclub.org/product/the-hornet-board/) 1x Tower Pro Servo 2x LED's 6x Female to female jumper wires 2x 100 ohm resisters 1x Battery pack x 4 aa 4x aa batteries 1x Micro USB cable (Mine came with the MakerClub Hornet Board) 1x Digital calipers (makes measuring easier but you could use a ruler) 1x PVC cement or other glue for fixing the 3dprinted parts together 1x 3D Printer. (if you don't have one you could use 3Dhubs.org) Optional if you want to tidy up your prints: 1x Airbrush & compressor 1x Polyfilla to fill in the gaps some sand paper to sand it down airbrush primer paint airbrush black gloss paint
